Round,Client 4,Client 5,Client 7,Client 15,Client 19,Client 9,Client 10,Client 12,Client 16,Client 18,Client 1,Client 3,Client 14,Client 17,Client 20,Client 8,Client 11,Client 6,Client 2,Client 13
0,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,
1,1.0,,1.0,0.27595982098597316,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
2,0.2699887466301378,0.2633227007244795,,,,0.2633227007244795,0.2633227007244795,,0.2674694298797476,,1.0,1.0,1.0,1.0,1.0,,,,,
3,0.25205070535119095,,,,,0.2633227007244795,0.2633227007244795,,,0.27083378114209117,0.26005165360159,,,,,1.0,1.0,,,
4,0.25205070535119095,0.25442479185604644,0.27338478699614155,,0.2633227007244795,0.2633227007244795,0.2633227007244795,,,,,0.2716814605173408,0.29192744021721706,,,0.27768997095378994,,1.0,,
5,0.25205070535119095,,,,0.2633227007244795,,0.2633227007244795,0.29101659090983195,,0.27083378114209117,,,,0.3510330150388101,0.2892034093114206,,,,,
6,,0.2473687847958995,0.27338478699614155,,,0.2633227007244795,,,0.2674694298797476,,,0.2716814605173408,,,,,,0.26497362135689667,,
7,,,0.2496987719026135,,,,,0.27083378114209117,,0.27083378114209117,,,,,0.2892034093114206,,,,1.0,
8,,0.2473687847958995,0.25205070535119095,0.27595982098597316,,,,0.27083378114209117,0.2674694298797476,,,0.2716814605173408,,,,,,,,
9,0.25205070535119095,,0.26497362135689667,0.27595982098597316,,,,,,,0.26005165360159,,0.24429592039957873,,,0.25442479185604644,,0.26497362135689667,,
10,0.25205070535119095,,,,,,,0.27083378114209117,0.2674694298797476,0.25126427633230797,0.2465969639416065,,,0.3510330150388101,,0.25442479185604644,,,,
11,0.25205070535119095,0.2473687847958995,,,,0.2633227007244795,,,,,,,,,,0.25442479185604644,,0.2576250617711437,,
12,0.25205070535119095,0.23826423263379365,0.26497362135689667,,0.2633227007244795,,,0.27083378114209117,0.2666348925550913,,0.2465969639416065,0.2716814605173408,,0.3510330150388101,0.2892034093114206,0.25442479185604644,,,,
13,0.25205070535119095,,,0.27595982098597316,,,,,,0.25126427633230797,,,0.24429592039957873,,,0.24277383237686276,,,,
14,0.2496987719026135,0.23826423263379365,0.26497362135689667,0.27595982098597316,,,,0.25522111293423355,0.2666348925550913,,,0.2716814605173408,,,0.25205070535119095,0.2397580473962124,,,,
15,0.2397580473962124,,,0.24582755126274922,0.2536309553969892,,,0.2473687847958995,,,,,,,,,,,,
16,0.2397580473962124,0.23752081909545814,,,,0.24050846320834218,,,,,,0.2716814605173408,,0.3510330150388101,,0.2397580473962124,,,,
17,0.2397580473962124,,,,0.2473687847958995,0.24050846320834218,,0.2473687847958995,0.25205070535119095,,,0.2716814605173408,0.2496987719026135,,,0.2397580473962124,,,,
18,0.23677972509825918,0.2397580473962124,,,,,,,,,0.2504803010681203,,,0.3510330150388101,,,,,,
19,0.23677972509825918,,,,,,,0.2473687847958995,,,,,0.2496987719026135,0.3510330150388101,,,,,,
20,0.2450605392455259,0.2397580473962124,,,,,,0.2473687847958995,0.2412612277378443,,,0.2716814605173408,,,,,,0.24814302136294747,,
21,0.2450605392455259,,,,0.2473687847958995,,,,,0.25126427633230797,,,0.2496987719026135,0.3510330150388101,,,,,0.2768235442913192,
22,0.2450605392455259,0.2397580473962124,,0.24582755126274922,0.2473687847958995,0.24050846320834218,0.26250110170180724,0.2473687847958995,0.2412612277378443,,,0.2716814605173408,,0.3510330150388101,0.24814302136294747,0.2397580473962124,,,0.2768235442913192,
23,0.2450605392455259,0.2397580473962124,,0.24582755126274922,0.2473687847958995,,0.26250110170180724,,,,0.2465969639416065,,0.2496987719026135,,,,,,,
24,0.2450605392455259,,0.23752081909545814,,0.2473687847958995,,0.26250110170180724,0.2412612277378443,0.25283959580474646,0.2450605392455259,,,,0.25843139933542364,,0.2397580473962124,,,,
25,0.2450605392455259,0.2397580473962124,,,0.2473687847958995,0.24050846320834218,,,,,,0.2716814605173408,,,,0.2360409434049449,,,,
26,0.23826423263379365,,,,0.2473687847958995,0.24050846320834218,,0.2412612277378443,,,,,,,0.24814302136294747,,,,,
27,0.23826423263379365,0.2397580473962124,0.2397580473962124,,,,,,0.24050846320834218,0.2450605392455259,,0.2716814605173408,,0.2465969639416065,,0.2360409434049449,,,,
28,0.23826423263379365,,0.23826423263379365,,0.2465969639416065,0.24050846320834218,,,0.24050846320834218,,,,0.2496987719026135,,,0.2360409434049449,,,,
29,0.23826423263379365,0.23900997297316962,0.23826423263379365,,,0.25283959580474646,,0.2412612277378443,0.24050846320834218,0.2496987719026135,,0.25843139933542364,,0.2465969639416065,0.2412612277378443,,,,,
30,,,,,0.2465969639416065,,,,,,,,,0.26005165360159,,0.2360409434049449,,0.24814302136294747,,
31,0.23826423263379365,,,,,,,,0.24050846320834218,0.2496987719026135,,0.2465969639416065,,0.26005165360159,,0.2360409434049449,,,,
32,0.23752081909545814,0.23900997297316962,,,,0.25283959580474646,0.26250110170180724,0.2412612277378443,,,,,0.2496987719026135,,,0.2360409434049449,,0.24814302136294747,,
33,0.23752081909545814,,,,0.2465969639416065,0.25283959580474646,0.26250110170180724,,0.24050846320834218,,0.2465969639416065,0.2465969639416065,,0.26005165360159,,,,,,
34,0.23752081909545814,0.23900997297316962,,,,0.2412612277378443,0.26250110170180724,0.2412612277378443,0.24050846320834218,0.2496987719026135,,,0.2496987719026135,0.26005165360159,0.2412612277378443,0.23677972509825918,,,,
35,0.23752081909545814,,,,0.2465969639416065,0.2412612277378443,0.26086558612628497,,0.24814302136294747,,0.2465969639416065,,,,,0.23677972509825918,,,,
36,0.23752081909545814,0.23677972509825918,,0.2496987719026135,,0.242016348335941,0.26086558612628497,0.2412612277378443,,0.2496987719026135,0.2465969639416065,0.24582755126274922,,0.26005165360159,,0.23677972509825918,,,,
37,0.23826423263379365,,,,0.2465969639416065,0.242016348335941,0.26086558612628497,,0.24814302136294747,,0.24353368725792068,0.24582755126274922,,,,0.23677972509825918,,,,
38,0.23900997297316962,0.23677972509825918,0.23826423263379365,,,0.242016348335941,,,,,,,,,0.2412612277378443,0.23677972509825918,,,,
39,0.23900997297316962,0.23677972509825918,,,0.2465969639416065,0.2450605392455259,,,0.24814302136294747,0.2496987719026135,0.24353368725792068,0.24582755126274922,0.2496987719026135,0.26005165360159,,0.23677972509825918,,0.24814302136294747,,
40,0.23900997297316962,,,,,,,0.2412612277378443,0.24814302136294747,,0.24353368725792068,,,,,0.23677972509825918,,,,
41,0.23900997297316962,0.23677972509825918,0.23826423263379365,,0.2465969639416065,0.2412612277378443,,,0.24814302136294747,0.2496987719026135,0.24353368725792068,0.24582755126274922,,,,,,,,
42,,,,,0.2465969639416065,,,,,,,,,,,0.23677972509825918,,,,
43,0.23900997297316962,0.23677972509825918,,,,,,0.2412612277378443,0.24814302136294747,0.2496987719026135,,0.24582755126274922,,0.26005165360159,,0.23677972509825918,,0.24814302136294747,0.26086558612628497,
44,,,,,0.2465969639416065,,,,,,,,,,,,,,,
45,0.23900997297316962,0.2450605392455259,,,,,,0.24429592039957873,,0.2496987719026135,,0.24050846320834218,,,0.2412612277378443,0.23677972509825918,,,,
46,0.23900997297316962,,,0.2496987719026135,0.2465969639416065,0.2412612277378443,,0.24429592039957873,0.24814302136294747,,,,,0.26005165360159,,0.23677972509825918,,,,1.0
47,0.23900997297316962,0.2450605392455259,,0.23900997297316962,,,,,0.24814302136294747,,,0.24353368725792068,,,0.2412612277378443,,,,,0.27083378114209117
48,0.23900997297316962,,,0.23900997297316962,,,,0.24429592039957873,,0.2496987719026135,,,,0.26005165360159,,0.23677972509825918,,0.2504803010681203,,
49,0.23900997297316962,,0.2397580473962124,,,,,,0.24814302136294747,,0.24353368725792068,0.24353368725792068,,0.26005165360159,,,,,,0.27083378114209117
50,0.23900997297316962,0.2450605392455259,0.2397580473962124,,,,,0.24429592039957873,,0.23900997297316962,,,,,,,,,,
51,0.23900997297316962,,0.2397580473962124,,0.2465969639416065,,,,0.24814302136294747,,,0.242016348335941,0.2496987719026135,0.26005165360159,,0.23677972509825918,,,,
52,,,0.2397580473962124,,0.23826423263379365,,,0.24429592039957873,0.24814302136294747,,0.24353368725792068,,,,,,,0.2504803010681203,,
53,0.23900997297316962,0.2450605392455259,0.2397580473962124,,,0.2412612277378443,,0.24429592039957873,0.24814302136294747,,0.24353368725792068,0.242016348335941,,0.26005165360159,0.2412612277378443,0.23677972509825918,,,,
54,,,,,,0.2412612277378443,,,,0.2360409434049449,0.24353368725792068,0.242016348335941,,,,0.23677972509825918,,,,
55,,0.2450605392455259,,,,0.2412612277378443,,0.24429592039957873,0.24814302136294747,0.2360409434049449,,,0.24582755126274922,0.2450605392455259,,0.23677972509825918,,0.2504803010681203,,
56,0.23900997297316962,0.23900997297316962,,,,0.2412612277378443,,,,,,0.242016348335941,,0.2450605392455259,0.2412612277378443,0.23677972509825918,,,,
57,0.2412612277378443,0.23900997297316962,,,,0.2412612277378443,,0.24429592039957873,0.24814302136294747,0.2360409434049449,,,0.23826423263379365,,,0.23677972509825918,,,,
58,0.2412612277378443,,,,,0.2412612277378443,,,0.24814302136294747,,,,,,0.24353368725792068,,,0.2473687847958995,,
59,0.23677972509825918,,,,0.23826423263379365,,,0.2504803010681203,0.2397580473962124,,,0.242016348335941,,0.2450605392455259,,0.2397580473962124,0.27338478699614155,,,
60,0.23677972509825918,0.23900997297316962,,,,0.2412612277378443,0.26086558612628497,,,0.2360409434049449,,0.2412612277378443,0.23826423263379365,0.2450605392455259,,0.2397580473962124,,,,
61,0.23677972509825918,,0.2397580473962124,,,0.2412612277378443,0.2450605392455259,,0.2397580473962124,,,,,,,0.2397580473962124,,,,
62,0.23677972509825918,0.23900997297316962,,,0.23826423263379365,,0.2450605392455259,,,0.2360409434049449,,0.2412612277378443,,0.2450605392455259,,,,0.23900997297316962,,
63,0.23677972509825918,0.23900997297316962,,,,,0.2450605392455259,0.2504803010681203,0.2397580473962124,,,,0.23826423263379365,,,0.2397580473962124,,,0.26086558612628497,
64,0.23677972509825918,,,,0.23826423263379365,,0.2450605392455259,,,0.2360409434049449,0.24353368725792068,0.2397580473962124,,,0.23752081909545814,0.23457028809379765,,,0.26086558612628497,
65,0.23677972509825918,0.23900997297316962,,,0.23826423263379365,0.2412612277378443,0.2450605392455259,0.2504803010681203,0.2397580473962124,,0.24429592039957873,,,0.2450605392455259,,0.23457028809379765,,,,
66,,,,,0.23826423263379365,,0.2450605392455259,0.2504803010681203,,0.2360409434049449,0.24277383237686276,0.2397580473962124,,,,0.23457028809379765,,0.23900997297316962,0.26086558612628497,
67,0.23677972509825918,0.23900997297316962,,0.23900997297316962,,0.2412612277378443,0.2450605392455259,,0.2397580473962124,,,,,,0.23752081909545814,0.23457028809379765,,,,
68,0.2353044668008445,,,0.23900997297316962,0.23826423263379365,,0.2450605392455259,0.2504803010681203,0.2397580473962124,0.2360409434049449,,,0.23826423263379365,0.2450605392455259,,,,,,
69,0.2353044668008445,0.23457028809379765,0.2360409434049449,,0.23826423263379365,0.23900997297316962,0.2450605392455259,,0.2397580473962124,,,,,,,,,,,
70,0.2353044668008445,,0.2360409434049449,,,0.23900997297316962,,0.2473687847958995,0.2397580473962124,0.23900997297316962,,0.23826423263379365,,0.2450605392455259,,0.23457028809379765,,0.23900997297316962,0.26086558612628497,
71,0.2353044668008445,0.2323814677695635,,,,0.23900997297316962,,,0.2397580473962124,,,,,0.2450605392455259,0.23752081909545814,0.23457028809379765,,,,
72,0.2353044668008445,0.2323814677695635,,,,0.23900997297316962,,,0.2397580473962124,0.23900997297316962,,,,,,0.23457028809379765,,,,
73,0.2353044668008445,,0.23677972509825918,0.2496987719026135,0.23826423263379365,0.23900997297316962,,0.2473687847958995,0.2397580473962124,,,0.23826423263379365,0.23826423263379365,,,,,0.23900997297316962,,
74,0.2353044668008445,0.2323814677695635,0.23677972509825918,,0.2397580473962124,0.23900997297316962,,,0.2397580473962124,0.23900997297316962,0.24277383237686276,,,,0.2450605392455259,0.23457028809379765,,,,
75,0.2353044668008445,,0.23677972509825918,,0.2397580473962124,0.23900997297316962,,,0.2397580473962124,,,0.23826423263379365,,,,,,,,
76,0.2353044668008445,0.2323814677695635,,,0.2397580473962124,0.23900997297316962,,,,0.24353368725792068,0.24277383237686276,,0.23826423263379365,,,,,,,
77,0.2353044668008445,,,,,0.23900997297316962,,0.2473687847958995,0.2397580473962124,,,0.23826423263379365,,,0.24277383237686276,0.23457028809379765,,0.23752081909545814,,
78,0.2353044668008445,0.23310879571435625,,,,0.23677972509825918,,,,0.24353368725792068,,,,,,,,,,
79,0.2353044668008445,,,,0.2397580473962124,0.23677972509825918,0.2450605392455259,0.2473687847958995,0.23826423263379365,,,0.23900997297316962,,,,0.23457028809379765,,,,0.27083378114209117
80,0.2353044668008445,0.2323814677695635,0.2360409434049449,,,,,,0.23826423263379365,0.24353368725792068,,0.23826423263379365,,0.2450605392455259,,0.23457028809379765,,,,
81,0.2353044668008445,,0.2360409434049449,,0.2397580473962124,0.23677972509825918,,0.2473687847958995,0.23826423263379365,,,,,,,0.23457028809379765,,,,
82,0.2353044668008445,0.2323814677695635,0.2353044668008445,0.2412612277378443,,,,,,0.24353368725792068,0.24277383237686276,0.23826423263379365,,0.2496987719026135,,0.23457028809379765,,,,
83,0.2353044668008445,,0.2353044668008445,,0.2397580473962124,,,0.242016348335941,0.23826423263379365,,0.23677972509825918,,0.23826423263379365,0.2496987719026135,,0.23457028809379765,,,,
84,0.2353044668008445,0.2323814677695635,0.2353044668008445,,0.2397580473962124,0.23677972509825918,,,0.23900997297316962,0.24353368725792068,0.23677972509825918,0.23826423263379365,,0.2496987719026135,,0.23457028809379765,,,,
85,0.2353044668008445,,0.2353044668008445,,,0.23677972509825918,0.25283959580474646,0.242016348335941,,,,0.23826423263379365,0.23826423263379365,,,0.23457028809379765,,0.23752081909545814,,
86,0.2353044668008445,0.2323814677695635,,,0.2360409434049449,,0.24050846320834218,,0.23900997297316962,0.24353368725792068,,,,,0.23752081909545814,,,,,
87,0.2353044668008445,,0.2353044668008445,,,0.23677972509825918,0.24050846320834218,0.242016348335941,0.23900997297316962,,,0.23900997297316962,0.23826423263379365,0.2496987719026135,,0.23677972509825918,,0.23752081909545814,,
88,0.2353044668008445,0.2323814677695635,,,,,0.24050846320834218,,0.23900997297316962,0.24353368725792068,,,,,,0.23677972509825918,,,,
89,0.2353044668008445,,,,0.2450605392455259,,0.24050846320834218,,,,,0.23900997297316962,,0.24353368725792068,,0.23677972509825918,,,,
90,0.2353044668008445,,0.2353044668008445,,0.2450605392455259,0.23677972509825918,0.24050846320834218,0.2397580473962124,0.23752081909545814,,,,,0.24353368725792068,0.23752081909545814,,,,,
91,0.2353044668008445,0.23165640917688882,0.2353044668008445,,,0.23677972509825918,0.24353368725792068,,0.23752081909545814,0.24353368725792068,,0.23900997297316962,,0.23752081909545814,,0.23677972509825918,,,,
92,0.2353044668008445,,,,,0.23677972509825918,0.24353368725792068,,0.23752081909545814,,,,0.23826423263379365,0.23752081909545814,,,,0.23752081909545814,,
93,0.2353044668008445,0.23310879571435625,,,0.2450605392455259,0.23677972509825918,,0.24582755126274922,,0.24353368725792068,,,,,,,,,,
94,0.2353044668008445,0.23310879571435625,0.2353044668008445,,,,,,,,,0.23900997297316962,,0.23752081909545814,,,,0.23752081909545814,,0.26497362135689667
95,0.2353044668008445,,,,,,,,0.23752081909545814,,,,0.23826423263379365,,,0.23677972509825918,,,,
96,0.2353044668008445,0.23310879571435625,,,,,,0.24582755126274922,0.23752081909545814,,0.23677972509825918,0.23900997297316962,,,,0.23677972509825918,,,0.26086558612628497,
97,0.2353044668008445,,,,0.2450605392455259,0.23677972509825918,,,0.23752081909545814,0.2360409434049449,,,,0.23752081909545814,,,,0.25126427633230797,,
98,0.2353044668008445,0.23165640917688882,,,0.23457028809379765,,,,0.23752081909545814,,,0.23900997297316962,0.23826423263379365,0.23752081909545814,0.23826423263379365,0.23310879571435625,,,,
99,0.2353044668008445,0.23165640917688882,,,,0.23677972509825918,,0.24582755126274922,,0.2360409434049449,0.23677972509825918,,,0.23900997297316962,,,,,,
100,0.2353044668008445,,,,,0.23826423263379365,,,0.23752081909545814,,0.24050846320834218,0.23900997297316962,,,,0.23310879571435625,,0.25126427633230797,,
101,0.2353044668008445,0.23165640917688882,,,0.23457028809379765,,,,,,,,,0.2412612277378443,,,,,,
102,0.2353044668008445,,0.2353044668008445,,0.24353368725792068,,,0.24582755126274922,0.23752081909545814,0.2360409434049449,,,,0.2412612277378443,0.2360409434049449,0.23457028809379765,,0.25126427633230797,,
103,0.2353044668008445,0.23165640917688882,0.2353044668008445,,,,,,0.23752081909545814,,,0.23900997297316962,0.23826423263379365,,,0.23457028809379765,,,,
104,,0.23165640917688882,0.2353044668008445,,0.23457028809379765,,,0.24582755126274922,0.23752081909545814,,,0.23900997297316962,,,0.23383840011408472,,,0.25126427633230797,0.25601992640813004,
105,0.23457028809379765,0.23165640917688882,,,,,,,0.23900997297316962,0.2360409434049449,,,,,,,,,0.25601992640813004,0.26497362135689667
106,0.23457028809379765,,,,,,,0.24582755126274922,,,,0.23900997297316962,,,,0.23457028809379765,,,,0.26497362135689667
107,0.23457028809379765,0.23165640917688882,,,0.23457028809379765,0.23826423263379365,0.24277383237686276,,,0.2360409434049449,,,0.23826423263379365,0.2412612277378443,,0.23310879571435625,,,,
108,0.23457028809379765,,,,,0.23826423263379365,0.2412612277378443,0.24582755126274922,0.23900997297316962,,0.24050846320834218,0.23900997297316962,,,,0.23310879571435625,,,,
109,0.23457028809379765,0.23165640917688882,,,,,,,0.23900997297316962,0.2360409434049449,0.2397580473962124,,,,,0.23310879571435625,,,,
110,0.23457028809379765,,,,,0.23826423263379365,,0.24582755126274922,0.23900997297316962,,0.2397580473962124,0.23826423263379365,0.23826423263379365,0.24050846320834218,,0.23310879571435625,,0.25126427633230797,,
111,0.23457028809379765,0.23165640917688882,,0.2412612277378443,,,,0.24582755126274922,,0.2360409434049449,0.2397580473962124,,,,,0.23310879571435625,,,,
112,0.23457028809379765,0.23165640917688882,,,0.23457028809379765,0.23165640917688882,0.2412612277378443,,0.23900997297316962,,,0.23826423263379365,0.23826423263379365,0.24050846320834218,0.23383840011408472,,,,,
113,0.23457028809379765,0.23383840011408472,,,0.23457028809379765,,0.2412612277378443,0.24582755126274922,0.23900997297316962,,,0.23826423263379365,,0.24050846320834218,,0.23165640917688882,,0.25126427633230797,,
114,,,,,,0.23165640917688882,0.2412612277378443,,0.23900997297316962,0.2360409434049449,,,0.23826423263379365,,,0.23165640917688882,,,,
115,0.23457028809379765,0.23383840011408472,,,,0.23165640917688882,,0.24582755126274922,0.23900997297316962,,,0.23826423263379365,,,,,,,,
116,0.23457028809379765,0.23383840011408472,,0.2412612277378443,,0.23165640917688882,,,0.23900997297316962,,,,0.23826423263379365,,,,,,,
117,0.23457028809379765,,,,,,,0.24582755126274922,0.23900997297316962,,0.2397580473962124,0.23826423263379365,,0.23900997297316962,,0.23021307174736147,,0.25126427633230797,0.24277383237686276,
118,0.23457028809379765,0.23383840011408472,,,,,0.24353368725792068,,,0.2360409434049449,0.23826423263379365,,,0.23900997297316962,,0.23021307174736147,,,,
119,0.23457028809379765,,,0.2412612277378443,,0.2323814677695635,0.24353368725792068,0.24582755126274922,0.23826423263379365,,,,0.23900997297316962,,,0.23021307174736147,,,,
120,0.23457028809379765,0.23383840011408472,0.2353044668008445,,,0.23383840011408472,0.24353368725792068,,0.23826423263379365,0.2360409434049449,,0.23826423263379365,,0.23900997297316962,,0.23021307174736147,,,0.25682124007865503,
121,,,,,0.2360409434049449,0.23383840011408472,0.24353368725792068,,,,,0.23826423263379365,,0.2360409434049449,,0.23165640917688882,,,,
122,0.23457028809379765,,,0.2412612277378443,,,,0.24582755126274922,,0.2360409434049449,,0.23826423263379365,,,,0.23165640917688882,0.24814302136294747,0.24353368725792068,,
123,0.23457028809379765,0.23383840011408472,,,,,,,0.23826423263379365,,0.23826423263379365,,0.23677972509825918,0.2360409434049449,,0.23165640917688882,,,,0.26497362135689667
124,0.23457028809379765,0.23383840011408472,0.2353044668008445,,0.24429592039957873,0.23383840011408472,,0.24582755126274922,0.23826423263379365,0.23383840011408472,,0.23826423263379365,,,0.23383840011408472,,,,,
125,0.23457028809379765,0.23310879571435625,0.2353044668008445,,,0.23383840011408472,0.24353368725792068,,0.23826423263379365,,,,,0.2360409434049449,,0.23165640917688882,,,,
126,0.23457028809379765,,0.2353044668008445,,0.24429592039957873,0.23383840011408472,,0.24582755126274922,0.23826423263379365,,0.2353044668008445,,,,,0.2323814677695635,,0.24353368725792068,,
127,0.23457028809379765,0.23310879571435625,,0.2412612277378443,,,0.2412612277378443,0.24582755126274922,0.23826423263379365,0.23383840011408472,0.23677972509825918,0.23826423263379365,0.23677972509825918,0.2360409434049449,,,,,,
128,0.23457028809379765,,,,0.24429592039957873,0.23383840011408472,0.2412612277378443,,,,,,,0.2360409434049449,0.23383840011408472,0.2323814677695635,,,,
129,0.23457028809379765,,0.2353044668008445,,,0.23383840011408472,0.2397580473962124,0.24582755126274922,,0.23383840011408472,0.23677972509825918,,,,,0.2323814677695635,,0.24353368725792068,,
130,0.23457028809379765,0.23310879571435625,0.2360409434049449,,,,,,0.23826423263379365,,0.23677972509825918,0.23826423263379365,,0.2360409434049449,,0.23165640917688882,,,0.25682124007865503,
131,0.2353044668008445,0.23310879571435625,0.2360409434049449,,,0.23383840011408472,,0.24582755126274922,,0.23383840011408472,,0.23826423263379365,,,0.23383840011408472,0.23165640917688882,,0.24353368725792068,,
132,0.2360409434049449,,0.2360409434049449,,,,0.2397580473962124,0.24582755126274922,0.23826423263379365,,,,0.23677972509825918,0.2360409434049449,,0.23165640917688882,,,,
133,0.2360409434049449,0.23310879571435625,,,,0.23383840011408472,,,0.23826423263379365,0.23383840011408472,,0.23826423263379365,,,0.23383840011408472,0.23165640917688882,,0.24353368725792068,,
134,0.2360409434049449,,,,,,,,0.23900997297316962,,0.23677972509825918,,0.23677972509825918,0.2360409434049449,,0.23165640917688882,,,,
135,0.2360409434049449,0.23310879571435625,,,0.2412612277378443,0.23383840011408472,,,0.23900997297316962,,,0.23826423263379365,,,,0.23165640917688882,,0.24353368725792068,,
136,0.2360409434049449,0.23310879571435625,0.2360409434049449,,,0.23383840011408472,,0.24582755126274922,0.23900997297316962,0.23383840011408472,,,,0.24050846320834218,,,,,,
137,,,,,0.2412612277378443,,,,0.23900997297316962,,0.23677972509825918,0.23826423263379365,,,,,,,,
138,,,,,,,,0.24582755126274922,0.23900997297316962,0.23457028809379765,,,0.23677972509825918,0.24050846320834218,,,,,,
139,0.2360409434049449,0.23310879571435625,,0.2412612277378443,0.2412612277378443,0.23383840011408472,,,0.23900997297316962,,,,,,,0.23165640917688882,,0.2412612277378443,,
140,0.2360409434049449,,,,0.2412612277378443,,,,0.23900997297316962,0.23457028809379765,,0.23826423263379365,,,,0.23165640917688882,0.24353368725792068,,,
141,0.2360409434049449,0.23310879571435625,,,0.2412612277378443,0.23383840011408472,,0.24582755126274922,0.23826423263379365,,,,0.23677972509825918,0.24050846320834218,0.23383840011408472,0.23165640917688882,,,,
142,0.2360409434049449,0.23310879571435625,,,,,,,0.23826423263379365,0.23457028809379765,,0.23826423263379365,,,,0.23165640917688882,,0.23900997297316962,,
143,0.2360409434049449,0.23310879571435625,,,,0.23383840011408472,,0.24582755126274922,,,0.23677972509825918,,,,,,,,,
144,0.2360409434049449,,,,,0.23383840011408472,,,0.23826423263379365,0.23457028809379765,,0.23826423263379365,0.23677972509825918,0.24050846320834218,,0.23165640917688882,,,,
145,0.2360409434049449,0.23310879571435625,0.2360409434049449,,,,,0.242016348335941,,,,0.23752081909545814,,,,,,,,
146,0.2360409434049449,,0.2360409434049449,,0.2412612277378443,0.23383840011408472,,,0.23826423263379365,,0.23677972509825918,,,0.24050846320834218,,0.23165640917688882,,,,
147,0.2360409434049449,0.23310879571435625,0.2360409434049449,,,,,0.242016348335941,0.23826423263379365,,,0.23752081909545814,,,,0.23165640917688882,,,,
148,0.2360409434049449,,0.2360409434049449,,,0.23383840011408472,,0.242016348335941,0.23826423263379365,,,0.23752081909545814,,0.24050846320834218,,0.23165640917688882,,0.23677972509825918,,
149,,0.23310879571435625,0.2353044668008445,,0.2412612277378443,0.2323814677695635,,,0.23826423263379365,0.23752081909545814,,,,,,,,,,
